Хан-уулд 2 өрөө байр	133300000.0	Мишээл	43.0 м²	12	2021	Хан-Уул	Лизинггүй	Ашиглалтад орсон	3100000.0
Ханбогд хороололд 2 өрөө байр	137525000.00	Яармаг	54.0 м²	10	2017	Хан-Уул	Лизинггүй	Ашиглалтад орсон	2546759.2592592593
Зайсанд gantig villa хотхонд 2 өрөө	473000000.0	Зайсан	86.0 м²	2	2023	Хан-Уул	Лизинггүй	Ашиглалтад ороогүй	5500000.0
Шинэ монгол сургуулийн хажууд 2 өрөө байр	170000000.00	13-р хороолол	56.0 м²	1	2015	Баянзүрх	Банкны лизингтэй	Ашиглалтад орсон	3035714.285714286
Цирк-н баруун талд 2 өрөө	200000000.00	Бусад	50.0 м²	1	1980	Сүхбаатар	Лизинггүй	Ашиглалтад орсон	4000000.0
Буянт од хотхон	120000000.00	Бусад	41.37 м²	5	2023	Баянзүрх	Лизинггүй	Ашиглалтад ороогүй	2900652.6468455405
Бзд-санто апартмент 61м2 2 өрөө байр	225935000.00	Олимп хотхон	61.9 м²	16	2019	Баянзүрх	Лизинггүй	Ашиглалтад орсон	3650000.0
Худ яармаг nova vista бизнес хотхонд 53.48мкв 2 өрөө орон сууц	176484000.00	Бусад	53.48 м²	8	2022	Хан-Уул	Лизинггүй	Ашиглалтад орсон	3300000.0
Хан уул дүүрэгт 2 өрөө	76464000.00	Нисэх	42.48 м²	12	2024	Хан-Уул	Хувь лизингтэй	Ашиглалтад ороогүй	1800000.0000000002
Өгөөмөр хотхонд 2 өрөө	112000000.00	Өгөөмөр захын зүүн	43.1 м²	4	2022	Баянзүрх	Лизинггүй	Ашиглалтад орсон	2598607.8886310905
Дрийм апартмент шинээр ашиглалтанд орсон	150000000.00	Бусад	53.99 м²	15	2023	Баянзүрх	Лизинггүй	Ашиглалтад орсон	2778292.276347472
3-4 хорооллын эцэст 2 өрөө тэс петролиумын хажууд	95000000.00	3, 4 хороолол	42.0 м²	2	2007	Баянгол	Банкны лизингтэй	Ашиглалтад орсон	2261904.761904762
Hunnu towert 59.59 mk 2 өрөө байр	229000000.00	Яармаг	59.59 м²	5	2022	Хан-Уул	Лизинггүй	Ашиглалтад орсон	3842926.6655479106
